 Nom,Nom_bis,Département/Massif,X,Y,EPSG,Alt. ,Denivele,Developpement,Equipement,Temps,debutant,crue,balade,Traversée,Commentaire,url
ANTENNE (scialet de l'),Fait partie du réseau du Gouffre Berger,Vercors,0,0,WGS84,,-1273,31790,,,,,,,,
Burtetch (Gouffre de),,Haute-Garonne,0,0,,1510,245,3000,100m,4h,non,non,,oui,,
Rocaysou (Grotte de ),,Lozère,0,0,,,,1500,45m de tuyaux + neop,5h ,,oui,,,100 plus belles / autorisation/ pompage,
,,Belgique,0,0,,,,,,,,,,,,
Orcière (Grotte de l’),,Chartreuse,0,0,,,,,,,,,,,,
Riusec (Grotte de),,Haute-Garonne,0,0,,1310,245,3000,100m,4h,non,non,,oui,,
Mounégou (Gouffre),,Ariège,1.98565,42.72197,WGS84,1975,314,1039,,,,,,,,
Hydre (Aven de l’),,Aude,2.87082,42.92065,WGS84,626,-400,1000,,,,,,,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=25341
Volpellière (Aven de la),,Gard,3.89723,43.96007,WGS84,200,35,700,25m,1h30,oui,non,,oui,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=35187
Orage (grotte de l’),,Gard,4.33063,44.27369,WGS84,,37,900,,,,,,,,
Falconette,,Ain,5.55437,45.84283,WGS84,533,303,22000,,,,,,,,
Rama (Chourum de la),,Devoluy,5.81631,44.67942,WGS84,2272,980,6100,,,,,,,,
Lisse à combonne (trou),,Chartreuse,5.81752,45.39851,WGS84,1415,300,4200,,,,,,,,
Aiguille (Chourum),,Devoluy,5.82035,44.67647,WGS84,1995,980,6100,,,,,,,,
Christine (Aven),,Chartreuse,5.84286,45.46069,WGS84,1455,195,1016,,,,,,,,
Forcenés (baume des),,Devoluy,5.846554,44.70862,WGS84,,459,6500,,,,,,,,
Buissons (Combe des),,Devoluy,5.84817,44.69977,WGS84,1750,511,4375,,,,,,,,
Chaudron (chourum),,Devoluy,5.84819,44.70066,WGS84,1743,309,1310,,,,,,,,
Chevalier (Grotte),,Chartreuse,5.85554,45.30814,WGS84,,673,55000,oui,7,,,non,oui,100 plus belles,
Camargier (chourum),,Devoluy,5.85995,44.71615,WGS84,1555,147,550,,,,,,,,
Grand Ragne (golet du),,Chartreuse,5.91864,45.42522,WGS84,1625,111,130,,,,,,,,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=37476}
Pare (grotte de la),,Devoluy,5.92236,44.624274,WGS84,,,,,,,,,,coordonnée incertaine,
Tune (Chourum),,Devoluy,5.93095,44.66728,WGS84,1550,101,500,,,,,,,,
Garde (trou du),,Bauges,5.98306,45.65194,WGS84,1362,298,45000,,,,,,,,
Cavale (Creux de la),,Bauges,5.98972,45.66444,WGS84,1380,298,45000,,,,,,,,
Malitou,,Bauges,6.01378,45.69436,WGS84,1102,167,4057,,,,,,,,
Litorne (Creux de la),,Bauges,6.06676,45.72805,WGS84,1000,870,53806,,,,,,,,
Grand Tetras (Creux du),,Bauges,6.07026,45.72486,WGS84,979,870,53806,,,,,,,,
Scarasson,,Alpes-Maritime,7.665668,44.17591,WGS84,,230,,,,,,,,coordonnée incertaine,
Karhalzeta,,Pyrénées-Atlantiques,333590.85,1795981.88,,545,106,300,,,,,,,,
Bouché de Lucucillo (Aven),,Pyrénées-Atlantiques,334078.18,1794700.38,,550,127,115,,,,,,,,
Lonne Peyret 5gouffre),,Pyrénées-Atlantiques,346644.6,1779804.59,,1635,807,24391,,,,,,,,
Las Escuras 2,,Pyrénées-Atlantiques,354934.59,1802243.37,,243,28,630,,,,,,,,
Sequette (Grotte de la),,Pyrénées-Atlantiques,357096.45,1780487.67,,650,24,150,,,,,,,,
Anglas (Grotte d’),,Pyrénées-Atlantiques,372677.44,1792257.04,,532,20,160,,,,,,,,
Sespiau (Grotte),,Pyrénées-Atlantiques,373749.36,1791704.43,,663,47,160,,,,,,,,
Capbis (grotte de),,,385569.19,1791546.85,,347,25,600,,,,,,,,
Champdeniers (Rivière souterraine),,Deux-Sèvres,391600,2167470,,95,,1200,,,,,,,,
Saint Christophe sur roc (rivière souterraine),,Deux-Sèvres,393865,2164130,,75,40,4770,,,,,,,,
Saint Christophe sur Roc (Rivière de),,,394170,2165780,,115,-40,4600,30m,2h,oui,oui,,oui,,
Bataillé (Rivière souterraine de),,Deux-Sèvres,416900,132600,,165,28,610,,,,,,,,
Cuchon (Grotte de la vallée de),,Vienne,469514,2174898,,98,,4920,,,,,,,,
Font-Serin (Grottes de),,,477600,2157400,,100,-75,370,20m,1h ,oui,non,,oui,coordonnées de l’entrée inconnu,
Runladou (Le),,Ardèche,479554.01,1929171.75,,170,103,500,,,,,,,,
Commingeois (Grotte des),,Haute-Garonne,480103,3075801,III,957,1004,105767,,,,,,,,
Martel (Gouffre),,Ariège,481231.09,1758494.94,,2165,271,4044,,,,,,,,
Chien Mort (Gouffre du),,Ariège,495354.51,1777171.84,,565,80,1100,,,,,,,,
Pylone (Gouffre du),,Ariège,501598.58,1749399.03,,1875,201,705,,,,,,,,
Degaudez (Gouffre),,Ariège,501713.93,1772708.44,,790,206,1260,,,,,,,,
Feuilles mortes (Gouffre des),,Ariège,520632.5,1756182.65,,1445,242,,,,,,,,,
Genat (Gouffre),,Ariège,537378.71,1758103.35,,945,200,500,,,,,,,,
Ermite (Gouffre de l’),,Ariège,541477.32,1758136.67,,540,,,,,,,,,,
TROU DU VENT DE LAS GOFFIAS (GOUFFRE DU),,Ariège,566792.02,1765072.89,,795,94,1210,,,,,,,,
Oeillets (Gouffre des),,Ariège,568239.61,1763384.09,,840,250,4745,,,,,,,,
Corbeaux (Gouffre des),,Ariège,568856.07,1764240.72,,900,184,930,,,,,,,,
TROU DU VENT DU PEDROU (Gouffre du),,Ariège,570800.07,1764300.43,,990,63,435,,,,,,,,
Crès (Perte du),,Causse,616313.74,1933984.45,,560,,2500,,,,,,,,
Clos del Pous (grotte du),,Causse,639158.71,1931461.88,,590,,3000,,,,,,,,
Pas d’Estrech,,Aveyron,658375,182110,III,685,-73,8600,,5h ,,oui,,oui,,
St-paul-des-Fonts (Cabane de),,Causse,658691.36,1882202.55,,650,,8600,,,,,,,,
Trouchiols (aven de),,Causse,661274.37,1905219.78,,833,125,,,,,,,,,
Peyrière (Grotte de la),,Causse,663487.85,1913639.38,,460,,3650,,,,,,,,
Puech nègre (aven de),,Causse,667011.37,1903220.31,,815,400,9400,,,,,,,,
Valat Nègre (Aven de),,Causse,667571.14,1904922.38,,840,100,,,,,,,,,
Rabiné (Aven du),,Causse,670342.5,1917886.83,,830,116,,,,,,,,,
Coutal  (grotte du),,Causse,670866.43,1919903.03,,,100,7500,,,,,,,,
Mas Raynal (Aven du),,Causse,671090.92,1873437.36,,739,110,,,,,,,,,
Baume Rousse (Aven de),,Causse,674224.11,1912508.58,,838,166,,,,,,,,,
Offraous (Aven des),,Causse,675281.67,1918950.44,,945,165,,,,,,,,,
Portalerie (Aven de la),,Causse,675320.04,1885114.05,,728,149,1000,,,,,,,,
Las Peyros (aven de),,Causse,675742.64,1917969.75,,956,226,,,,,,,,,
Banicous (Aven de),,Causse,675922.38,1918765.61,,939,344,,,,,,,,,
Patates (aven des),,Causse,676104.06,1906903.87,,830,277,2600,,,,,,,,
Fromagère (Baume),,Causse,676274.65,1915257.41,,970,214,,,,,,,,,
Bouteille (Aven de la),,Causse,677107.83,1901999.23,,810,234,,,,,,,,,
Noir (aven),,Causse,678912.18,1897745.6,,600,110,,,,,,,,,
Clujade (Grotte de),,Causse,680562.96,1925399.42,,470,,4000,,,,,,,,
Combe Albert (Aven de),,Causse,683112.92,1895921.01,,850,353,,,,,,,,,
Baume Layrou (Grotte de),,Causse,685483.58,1899176.06,,710,,9700,,,,,,,,
Cabane de Trévezel (Grottes des),,Causse,685593.55,1899426.4,,590,,4000,,,,,,,,
Hures (Aven de),,Causse,687184.23,1917045.58,,982,345,,,,,,,,,
Deïdou (Aven de),,Causse,694313.65,1920716.76,,990,179,,,,,,,,,
Bastide (Aven de la),,Causse,699416.22,1923835.23,,1070,307,,,,,,,,,
Vignal (Fontaine du),,Ardèche,743996.52,1939142.76,,330,,1900,,,,,,,,
Sauvas (Goule de),,Ardèche,745731.45,1926313.49,,225,,15000,,,,,,,,
Reméjadou (Aven du),,Ardèche,753244,1939212.76,,195,82,2150,,,,,,,,
Espeluches (Event des),,Ardèche,754275.32,1938793.56,,160,,800,,,,,,,,
Font vive,,Ardèche,755582.63,1933250.36,,160,68,700,,,,,,,,
Pêcher (Baume du),,Ardèche,758521.71,1944983.32,,154,,2500,,,,,,,,
Pèbres (Aven des),,Gard,758585.78,1916614.46,,275,110,400,,,,,,,,
Bizac (aven de),,Ardèche,758586.71,1940669.97,,150,30,775,,1h ,,,,,,
Salamndre (Aven de la),,Ardèche,759790.09,1919578.95,,230,89,,,3h,,,,,de nuit seulement // interdit,
Agas (Aven de l’),,Gard,760468.39,1916571.66,,300,155,1276,,4h,,,,,,
Jeunes (Trou des),,Ardèche,760763.85,1957107.53,,230,,1300,,,,,,,,
Camelié (Aven du),,Gard,762175.63,1913273.43,,260,171,6760,,3h,,,,,,
Claire (grotte),,Gard,762704.89,1919536.03,,250,35,,,,,,,,,
Barrage (grotte du),,gard,763538.73,1883786,,69,129,4230,,,,,,,,
Buse (Aven de la),,gard,764653.59,1922099.43,,195,110,1000,,4h,,,,,,
Cordier (Aven),,Ardèche,764945.5,1933426.36,,145,57,500,,3h,,,,,,
Marteau (Aven du),,Ardèche,765439.78,1934382.77,,225,110,500,,,,,,,,
Chataigniers (Grotte des),,Ardèche,765946.67,1933631.31,,100,53,1100,,,,,,,,
Chabanne (Baume),,Ardèche,767230.13,1960124.57,,220,,1030,,,,,,,,
Valérie (Abime),,Ardèche,768907.83,1962908.45,,370,60,2000,,,,,,,,
Neuf Gorges (Aven des),,Gard,769260.19,1928552.28,,335,124,,,,,,,,,
Combe Rajeau (Aven de la),,Ardèche,770005.52,1965361.38,,590,235,11000,,,,,,,Potentiel -600,
Midroï (Event de),,Ardèche,770785.81,1929159.69,,221,150,500,,,,,,,,
Guigonne,,Ardèche,771852.16,1928835.72,,55,,,,,,,,,,
Faux Marzal (Aven du),,Ardèche,772618.58,1932259.71,,330,190,,,,,,,,,
Vigne Close (aven de la),,Ardèche,773271.12,1930689.14,,305,186,,,,,,,,,
Rimourin (Perte -86 du ruisseau de),,Ardèche,778086.16,1937851.41,,249,151,720,,,,,,,,
Pascaloune (Grotte de la),,Ardèche,778332.42,1937792.03,,260,192,1500,,,,,,,,
Baumas (Grotte de),,Ardèche,780622.64,1942158.22,,303,30,1580,,,,,,,,
Serpent (Trou du),,Ardèche,784347.43,1940812.06,,300,115,1100,,,,,,,,
Abel (Scialet),,Vercors,837012,3292771,III,1506,,42978,,,,,,,,
Balme d’Epy (Gouffre de la),,,837410,2157940,,443,-80,4000,oui,2h30,non,oui,,oui,,
Moustic,,Vercors,838243,3294267,III,1338,,42978,,,,,,,,
Jujurieux (grotte) (entrée buis),,,838565,2119715,,353,-79,2120,,,,,,oui,,
Jujurieux (grotte) (sortie carriere),,,838567,2119650,,318,-79,2120,20m,2h,oui,non,,oui,,
Blaches (Scialet des),,Vercors,838845.78,2013476.46,,920,38,71,,,,,,,,
Fauries nord (Scialet des),,Vercors,840810.96,2016540.8,,940,44,182,,,,,,,,
Ecole (Scialet d’),,Vercors,841123.73,2020682.44,,785,36,75,,,,,,,,
Borne 8 (Scialet de la),,Vercors,842887.61,2018745.07,,1230,48,100,,,,,,,,
Font Sala (Scialet 1 de ),,Vercors,843357.89,2018655.89,,1245,41,70,,,,,,,,
Font Sala (Scialet 2 de ),,Vercors,843377.92,2018645.92,,1245,12,10,,,,,,,,
Combe Mourron (Scialet de la),,Vercors,843859.79,1987437.01,,1335,97,,,,,,,,,
Rang (Scialet du),,Vercors,845145.89,2014467.92,,1000,55,85,,,,,,,,
Marco Polo,,Chartreuse,846466.47,2032170.8,,,,,,,,,,,,
Courtouphle (Grotte),,,846800,2145300,,689,-114,1400,40m,3h,oui,non,,oui,coordonnées de l’entrée inconnu,
Candy (Scialet),,Vercors,855382.25,2008368.39,,1580,537,,,,,,,,,
La Laitière Mutante,,Vercors,856383,329284,III,1507,1273,31790,,,,,,,,
Choupette (Scialet),,Chartreuse,859098.39,2040999.68,,900,250,1300,,,,,,,,
Aigle (grotte),,Chartreuse,860556.19,2046279.28,,570,19,140,,,,,,,,
Cambise (Grotte de la),,Chartreuse,869362.7,2044999.34,,920,66,500,,,,,,,,
Perret (grotte),,Chartreuse,870243.17,2054841.5,,445,12,400,,,,,,,,
Francis (Puits),,Chartreuse,872389.76,2049070.64,,1565,688,,,,,,,,,
Cure (Grotte du),,Chartreuse,873717.53,2052688.44,,630,3,400,,,,,,,,
Bellot (Chourum),,Devoluy,878093.42,1971261.11,,1690,186,378,,,,,,,,
Pyramide (Chourum),,Devoluy,878800,3272730,WGS84,1600,,,,,,,,,,
Dupont-Martin (chourum),,Devoluy,878946.84,1974764.96,,1600,360,,,,,,,,,
Pompier (golet du),,Chartreuse,879765.96,2053520.79,,1736,520,6875,,,,,,,,
Berger (Gouffre du),,Chartreuse,879848.54,2052270.93,,1640,320,2515,,,,,,,,
Brutus (gouffre),,Chartreuse,880244.56,2054201.79,,1590,405,5510,,,,,,,,
Source Vieille (gouffre de),,Chartreuse,880375.36,2053812.06,,1620,360,1185,,,,,,,,
Combe des Arches (Golet de la),,Chartreuse,880913.28,2054823.18,,1550,350,2955,,,,,,,,
Alpe (Trou de l’),,Chartreuse,881018.56,2052273.35,,1742,243,430,,,,,,,,
Uc (Trou d’),,Devoluy,881697.83,1971635.55,,,,,,,,,,,,
Bans (Puits des),,Devoluy,883609.25,1975467.04,,1103,331,1920,,,,,,,,
Aiglons (Grotte de l’),,Bauges,883980,2081120,,,,,,,,,,,,
Garde (Trou du),,Bauges,884170,2079020,,1362,-308,30100,50m,8h,non,oui,,oui,,
Doria (Grotte de la),,Bauges,884225.5,2074263.7,,1015,287,14745,,,,,,,,
Perrin (Creux),,Bauges,884894,2078640,,1316,,,,,,,,,,
Creux 222,,Bauges,888201.25,2082645.78,,,310,4189,,,,,,,,
Ours rouge (Tanne de l’),,Bauges,889782.02,2078886.64,,,127,532,,,,,,,,
Cochons n°2 (Tanne aux),,Bauges,890023.67,2077348.6,,1489,823,17694,,,,,,,,
Névé n°3 (Tanne du),,Bauges,890158.11,2077262.61,,1465,823,17694,,,,,,,,
Fitoja Express,,Bauges,890358.91,2087003.73,,900,870,53806,,,,,,,,
Pré-rouge (Grotte du),,Bauges,892411.49,2087422.83,,,870,53806,,,,,,,,
Banges (Grotte des),,Haute-Savoie,892980,2088921,,680,,,non,45m,,oui,oui,,100 plus belles,
Trois Betas (Tanne des),,Haute-Savoie,904137,2113135,,1629,-701,33000,110m,12h,non,oui,,oui,,
Corneille (gouffre aux),,Devoluy,906669.55,1976505.05,,2260,45,126,,,,,,,,
Fauteuil de la Tournette ,,,906800,2099220,,2300,-73,450,45m,2h,non,non,,oui,,
Jean-Claude (Grotte),,,921500,2120000,,1700,-53,250,non,1h ,oui,non,,oui,,
Jean-Bernard (Gouffre),,Haute-Savoie,944870,2132670,,2318,-1607,20700,70m,15h,non,oui,,oui,100 plus belles,
Pinée (Embut de la),,Alpes-Maritime,964200.68,1874116.63,,1077,208,1753,,,,,,,,
Fiat Lux (Gouffre du),,Alpes-Maritime,1027306.92,1920984.92,,2164,240,350,,,,,,,,
Suès (grotte de),,,1013026.36,1888769.72,,340,-20,300,non,1h ,oui,oui,,oui,coordonnées de l’entrée inconnu,
Aphanicé (Gouffre d’),,Pyrénées-Atlantiques,322869.09,1794870.42,,1040,504,,oui,10h,,non,,,100 plus belles,
Bidouze ,,Pyrénées-Atlantiques,326268.89,1797766.96,,700,-75,370,40m,1h30,oui,oui,,oui,,
Betchanka (Abime de),,Pyrénées-Atlantiques,334627.08,1796480.46,,497,160,1950,oui,8h,,non,,,100 plus belles,
Tête Sauvage (Gouffre de la),,Pyrénées-Atlantiques,348224.88,1778198.59,,1882,-1342,54000,90m,15h,non,oui,,oui,100 plus belles,
SC3 (Gouffre du),,Pyrénées-Atlantiques,349485.2,1778091.15,,2037,-1342,54000,oui,20h,non,oui,,oui,,
Séquette (Grotte de la),,,357096.45,1780487.67,,650,-24,240,non,1h ,oui,non,,oui,,
André-Touya (Gouffre),,Pyrénées-Atlantiques,366932.38,1775236.47,,2000,894,5000,oui,18h,,oui,,,100 plus belles,
Eaux-chaudes (Grottes des),,Pyrénées-Atlantiques,372885.89,1774140.97,,970,810,11000,oui,10h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=24688
Ley (Grotte de),,,381458.58,1776700.56,,1250,-376,2860,60m,2h30,oui,oui,,oui,,
Cotche (Quèbe de),,Pyrénées-Atlantiques,381761.58,1774342.36,,2000,726,3100,oui,15h,,oui,,,100 plus belles,
Hayau (Gouffe du),,,397615.15,1790304.01,,659,-162,1300,60m,3h,non,non,,oui,,
Villesèque (ruisseau souterrain de),,,406397.82,1978370.23,,70,-10,450,,1h30,oui,oui,,oui,,
Devaux (Grotte),,Haute-Pyrénées,408261.05,1745589.61,,2820,25,2000,15m crampon piolet,4h,,,,,100 plus belles,
Barrique (Trou de la),,,411093.05,1965766.28,,55,-10,2800,,3h,oui,oui,,oui,,
Esparros (Grotte-Gouffre d’),,Hautes-Pyrénées,436482.54,1782835.17,,,138,1300,oui,6h,,non,,,100 plus belles,
Ley (Grotte de),,Pyrénées-Atlantiques,436498.29,1775058.04,,,115,6000,oui,5h ,,oui,,oui,100 plus belles,
Labastide (Grotte de),,Hautes-Pyrénées,437441.71,1783169.56,,565,88,1800,non,2h,oui,non,oui,,100 plus belles / fermée,
Fontanguillère (ruisseau souterrain),,,451250.3,1976843.49,,95,-17,3576,,2h30,,oui,,oui,,
Coquille (gouffre de la),,Haute-Garonne,479261.71,1774690.71,,1448,1004,105767,oui voir equipement en fixe,20h,non,oui,,oui,,
Mile (Trou),,Haute-Garonne,479715.91,1774680.73,,1325,1004,105767,oui,21h,,,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=6169
Henne Morte (gouffre de la),,Haute-Garonne,479865.6,1775511.83,,1352,1004,105767,2x60m,6h,non,oui,,oui,100 plus belles,
Pénéblanque (Grotte-Gouffre de),,Haute-Garonne,480684.61,1776337.21,,915,1004,105767,oui,12h,,non,,,100 plus belles,
Pyrénois (Gouffre des),,Haute-Garonne,481107.67,1776233.21,,952,1004,105767,80m,4h,non,non,,oui,,
Cigalère (Grotte de la),,Ariège,482859.09,1759275.59,,1700,228,15000,oui,11h,,oui,,,100 plus belles,
Aliou (Grotte d’),,Ariège,494779.89,1777237.35,,,,2500,canot,5h ,,,,,100 plus belles,
Brauge (Grotte de),,Dordogne,499026.31,2004519.7,,,,572,10m corde,2h,oui,non,oui,,100 plus belles,
Reille (Rivière souterraine de la),,Dordogne,505638.58,2024936.77,,235,,2260,non,4h,oui,oui,oui,,100 plus belles,
Vent (Trou du),,Dordogne,511578.07,1969367.18,,,104,10800,oui,5h ,,,,,100 plus belles / autorisation,
Vicdessos (Rivière souterraine de),,Ardèche,530344.91,1751887.44,,800,-76,1550,non,2h,non,oui,,oui,,
Niaux (Grotte de) ,,Ariège,539141.97,1757622.73,,,417,8000,,4h,,,,oui,100 plus belles / autorisation,
Sabart (Grotte de),,Ariège,539632.96,1759021,,559,136,2800,non,2h,oui,non,oui,oui,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=7483
Lombrives (Grotte de),,Ariège,540955.91,1758082.47,,,417,8000,oui,6h,,,,oui,100 plus belles / autorisation,
Fontanet (Gtotte de),,Ariège,543311.29,1756663.81,,560,,2900,cordes. canot,4h,oui,non,non,,100 plus belles / autorisation,
Réveillon (Gouffre du),,Lot,546862.87,1980738.94,,,110,2600,30m,2h30,non,oui,non,,100 plus belles/interdite par proprio,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=6300
Viazac (Igue de),,Lot,547794.33,1961017.36,,400,246,16500,oui,6h,,oui,,,100 plus belles,
Padirac (Rivière souterraine),,Lot,553645.44,1984340.28,,345,260,41000,oui,60h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=206
Caügno de los gouffios,,Ariège,566782.01,1765117.98,,,,,50m,1h30,,,,,100 plus belles,http://www.comite-speleo-midipy.com/speleoc/Revues/speleoc32.pdf
Homme-mort (Grotte de l’),,Aude,572227.92,1767082.81,,870,62,450,non,1h ,,,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=34857
Calel (Trou du),,Tarn,579805.88,1827110.78,,,130,6300,oui,5h ,,non,,,100 plus belles,
Fontrabiouse (Grotte de),,Pyrénées-Orientales,580350.88,1736712.49,,1490,60,12000,cordes. canot,5h ,non,oui,non,,100 plus belles,
En-gorner (Grotte d’),,Pyrénées-Orientales,603375.92,1732819.97,,462,50,17028,20m,6h,oui,non,oui,oui,100 plus belles,
Dotz (font de),,,605561.42,1764026.97,,520,-50,3000,20m secu,,,oui,,oui,,
Trassanel (Grotte-Gouffre de),,Aude,607823.19,1815963.42,,495,177,6525,oui,7h ,,non,,,100 plus belles / autorisation,http://cdspeleo11.free.fr/aude/fiche.php?idcavite=18
Cannac (trou),,,609586.14,1816525.31,,428,-120,1900,80m,4h30,,non,,oui,sortie trou d’airolles,
Cabrespine (Grotte de),,Aude,609959.34,1817601.57,,,504,22500,corde,5h ,non,,,,100 plus belles / autorisation,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=6174https://www.grottocenter.org/html/file_Fr.php?type=delete&category=entry&id=34061
Tindoul de la Vayssière,,Aveyron,619081.65,1937240.42,,590,,2365,40m,2h30,,non,,,100 plus belles,
Fauzan (Grotte de),,Hérault,629384.07,1816909.58,,,,2000,non,3h,oui,non,oui,,100 plus belles,
Saint-Pierre (Grotte de),,Aveyron,630444.09,1947411.05,,,,,non,1h ,oui,non,oui,,100 plus belles,
Lauzinas (Grotte de),,Hérault,634981.1,1831408.71,,,,6100,oui,10h,,non,,oui,100 plus belles / clé,
Boundoulaou (Grotte du),,,657353.95,1896248.38,,500,-20,800,dynamique et degaine,2h,oui,oui,,oui,,
Suège (Aven de),,,661961.95,1912277.33,,800,-35,600,40m,2h30,,non,,oui,,
Mas-Raynal (Abime du),,Aveyron,671125.32,1873425.04,,730,156,3220,oui,4h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=18
Baumes-chaudes (Grotte-aven des),,Lozère,672416.42,1923768.43,,740,-90,670,oui,3h,,,,,100 plus belles,http://lecrad.free.fr/Topos/liste.php?pageNum_topos=2&totalRows_topos=23&select=48&classement=prof
Hures (Aven de),,Lozère,687183.86,1917096.62,,982,341,2350,oui,8h,,oui,,,100 plus belles,https://www.grottocenter.org/html/file_Fr.php?lang=Fr&category=entry&id=5592
Porte (Grotte de la),,,687269.26,1909177.79,,755,-30,720,15m ,1h ,oui,non,,oui,,
Castelbouc (Grotte-exsurgence de),,,690300.79,1926956.83,,525,-51,1440,45m,1h ,oui,non,,oui,,
Bramadiau (Rivière souterraine),,Gard,691183.08,1902757.23,,,87,10240,20m,3h,,,,oui,100 plus belles,
Abime de Bramabiau,,Causse,691598.05,1902583.65,,1005,-90,10000,15m + neop,2h,oui,oui,,oui,coordonnées de l’entrée inconnu,
